note,clmNum,whenadded
Payment processed for CLM55677485 - Priority: Low,CLM55677485,2024-05-22
Payment authorization for CLM55677485,CLM55677485,2024-05-28
Payment authorization for CLM55745469,CLM55745469,2023-07-07
Claim CLM55745469 status updated,CLM55745469,2023-07-17
Payment authorization for CLM55745469,CLM55745469,2023-08-07
Claim CLM55745469 assigned to adjuster,CLM55745469,2023-08-19
"Claim CLM55745469 status updated - Amount: $9,007",CLM55745469,2023-09-08
Additional information requested for CLM55745469,CLM55745469,2023-09-22
Initial review completed for claim CLM55745469,CLM55745469,2023-10-02
Follow-up investigation required for CLM55745469,CLM55745469,2023-10-07
Claim CLM55745469 assigned to adjuster,CLM55745469,2023-10-07
Claim CLM55745469 assigned to adjuster,CLM55745469,2023-10-15
"Follow-up investigation required for CLM55745469 - Priority: Low - Amount: $30,969",CLM55745469,2023-12-08
Payment authorization for CLM56350911 - Priority: Low,CLM56350911,2023-01-21
Review completed for CLM56350911,CLM56350911,2023-02-09
Follow-up investigation required for CLM56350911,CLM56350911,2023-02-13
"Claim CLM56350911 status updated - Priority: Low - Amount: $42,235",CLM56350911,2023-03-01
"Follow-up investigation required for CLM56350911 - Priority: Low - Amount: $43,324",CLM56350911,2023-03-22
Claim CLM56350911 assigned to adjuster,CLM56350911,2023-05-10
"Payment processed for CLM56350911 - Priority: Medium - Amount: $26,892",CLM56350911,2023-05-15
Additional information requested for CLM56350911 - Priority: Medium,CLM56350911,2023-06-22
"Payment authorization for CLM57911176 - Priority: Low - Amount: $24,714",CLM57911176,2023-05-25
Payment processed for CLM57911176,CLM57911176,2023-05-28
"Claim CLM57911176 assigned to adjuster - Amount: $25,244",CLM57911176,2023-06-05
Additional information requested for CLM57911176,CLM57911176,2023-06-17
Follow-up investigation required for CLM57911176,CLM57911176,2023-06-27
"Follow-up investigation required for CLM57911176 - Amount: $23,556",CLM57911176,2023-08-28
Additional information requested for CLM57911176 - Priority: High,CLM57911176,2023-09-05
Additional information requested for CLM57911176,CLM57911176,2023-09-25
"Additional information requested for CLM58495982 - Amount: $14,944",CLM58495982,2023-06-24
Payment authorization for CLM58495982,CLM58495982,2023-06-30
"Review completed for CLM58495982 - Amount: $10,596",CLM58495982,2023-07-06
"Claim CLM58495982 documentation verified - Amount: $20,033",CLM58495982,2023-08-17
Payment processed for CLM58495982,CLM58495982,2023-09-06
Claim CLM58495982 assigned to adjuster,CLM58495982,2023-09-23
"Claim CLM58495982 status updated - Amount: $15,537",CLM58495982,2023-09-28
Claim CLM58495982 status updated,CLM58495982,2023-10-06
Review completed for CLM58515114 - Priority: Low,CLM58515114,2022-10-12
"Initial review completed for claim CLM58515114 - Amount: $15,357",CLM58515114,2022-10-22
Claim CLM58515114 documentation verified,CLM58515114,2022-11-05
Documentation received for claim CLM58515114,CLM58515114,2022-11-05
"Documentation received for claim CLM58673237 - Amount: $19,589",CLM58673237,2022-10-14
Additional information requested for CLM58673237,CLM58673237,2022-11-11
Review completed for CLM58673237,CLM58673237,2022-11-16
Claim CLM58673237 status updated,CLM58673237,2022-11-25
"Payment authorization for CLM58673237 - Amount: $46,681",CLM58673237,2022-12-03
"Documentation received for claim CLM58673237 - Amount: $11,492",CLM58673237,2023-01-13
Initial review completed for claim CLM58673237 - Priority: High,CLM58673237,2023-01-29
"Claim CLM58673237 assigned to adjuster - Priority: Low - Amount: $35,584",CLM58673237,2023-03-19
Follow-up investigation required for CLM58978079 - Priority: Medium,CLM58978079,2023-02-12
Initial review completed for claim CLM58978079,CLM58978079,2023-02-12
Payment authorization for CLM58978079,CLM58978079,2023-04-22
Claim CLM58978079 documentation verified,CLM58978079,2023-04-25
"Follow-up investigation required for CLM58978079 - Priority: Low - Amount: $25,052",CLM58978079,2023-05-01
Review completed for CLM58978079,CLM58978079,2023-05-07
Claim CLM58978079 documentation verified,CLM58978079,2023-05-10
Review completed for CLM58978079,CLM58978079,2023-05-25
Payment authorization for CLM58978079,CLM58978079,2023-07-14
Documentation received for claim CLM58978079,CLM58978079,2023-07-27
Payment processed for CLM58978079 - Priority: High,CLM58978079,2023-07-27
"Payment authorization for CLM59160571 - Amount: $23,662",CLM59160571,2023-06-09
Follow-up investigation required for CLM59160571 - Priority: Low,CLM59160571,2023-08-15
Review completed for CLM59160571,CLM59160571,2023-08-24
Initial review completed for claim CLM59160571 - Priority: Low,CLM59160571,2023-08-31
Claim CLM59282339 status updated,CLM59282339,2022-12-29
Review completed for CLM59282339,CLM59282339,2023-02-17
Initial review completed for claim CLM59282339,CLM59282339,2023-02-23
"Payment processed for CLM59282339 - Amount: $1,126",CLM59282339,2023-04-07
Initial review completed for claim CLM59282339,CLM59282339,2023-04-13
Review completed for CLM59282339,CLM59282339,2023-04-18
Payment authorization for CLM59282339,CLM59282339,2023-05-17
Claim CLM59282339 status updated,CLM59282339,2023-06-14
Claim CLM61117909 status updated,CLM61117909,2023-01-25
"Claim CLM61117909 assigned to adjuster - Amount: $31,654",CLM61117909,2023-02-07
Documentation received for claim CLM61117909 - Priority: Medium,CLM61117909,2023-02-10
Additional information requested for CLM61117909 - Priority: Low,CLM61117909,2023-03-05
Claim CLM61117909 status updated,CLM61117909,2023-06-13
Payment authorization for CLM61117909,CLM61117909,2023-06-18
Initial review completed for claim CLM61117909,CLM61117909,2023-07-15
Initial review completed for claim CLM61588363,CLM61588363,2023-05-16
Claim CLM61588363 documentation verified,CLM61588363,2023-05-19
Follow-up investigation required for CLM61588363 - Priority: Medium,CLM61588363,2023-05-21
Initial review completed for claim CLM61588363 - Priority: High,CLM61588363,2023-10-08
Claim CLM61588363 status updated,CLM61588363,2023-10-23
Payment processed for CLM61721929,CLM61721929,2023-12-29
Follow-up investigation required for CLM61721929,CLM61721929,2024-02-29
Payment authorization for CLM61721929,CLM61721929,2024-04-18
Payment authorization for CLM61721929,CLM61721929,2024-06-01
Claim CLM61721929 documentation verified,CLM61721929,2024-06-21
Payment authorization for CLM62297378,CLM62297378,2024-02-10
Initial review completed for claim CLM62297378 - Priority: High,CLM62297378,2024-03-08
Payment processed for CLM62297378,CLM62297378,2024-03-10
"Payment authorization for CLM62297378 - Amount: $35,540",CLM62297378,2024-03-27
Additional information requested for CLM63412976,CLM63412976,2023-01-16
Payment authorization for CLM63412976 - Priority: Medium,CLM63412976,2023-01-21
Claim CLM63412976 status updated - Priority: Medium,CLM63412976,2023-03-03
Additional information requested for CLM63412976 - Priority: Low,CLM63412976,2023-06-11
Payment authorization for CLM63517362 - Priority: Low,CLM63517362,2022-03-25
Review completed for CLM63517362,CLM63517362,2022-04-19
Documentation received for claim CLM63517362,CLM63517362,2022-07-08
Additional information requested for CLM63517362 - Priority: Low,CLM63517362,2022-08-30
Payment authorization for CLM64331101,CLM64331101,2023-07-09
Claim CLM64331101 documentation verified - Priority: Low,CLM64331101,2023-07-15
Follow-up investigation required for CLM64331101,CLM64331101,2023-07-25
Review completed for CLM64331101,CLM64331101,2023-07-29
Initial review completed for claim CLM64331101,CLM64331101,2023-08-08
"Claim CLM64331101 documentation verified - Amount: $31,873",CLM64331101,2023-08-15
Review completed for CLM64331101,CLM64331101,2023-08-20
Follow-up investigation required for CLM64331101,CLM64331101,2023-09-08
Payment processed for CLM64331101,CLM64331101,2023-09-17
Payment processed for CLM64474455,CLM64474455,2023-03-02
Follow-up investigation required for CLM64474455,CLM64474455,2023-04-28
"Claim CLM64474455 documentation verified - Amount: $2,306",CLM64474455,2023-05-04
"Claim CLM64474455 documentation verified - Amount: $24,419",CLM64474455,2023-05-15
Payment processed for CLM64474455,CLM64474455,2023-06-02
Claim CLM64474455 status updated - Priority: High,CLM64474455,2023-06-13
Payment processed for CLM64474455,CLM64474455,2023-06-15
Claim CLM64474455 documentation verified,CLM64474455,2023-07-06
Claim CLM64474455 assigned to adjuster,CLM64474455,2023-07-30
Payment processed for CLM64847136,CLM64847136,2022-09-04
Follow-up investigation required for CLM64847136,CLM64847136,2022-12-02
"Claim CLM64847136 documentation verified - Amount: $47,975",CLM64847136,2022-12-04
Initial review completed for claim CLM64847136,CLM64847136,2023-01-06
Payment processed for CLM64847136,CLM64847136,2023-01-30
Initial review completed for claim CLM65478034,CLM65478034,2022-09-25
Initial review completed for claim CLM65478034 - Priority: Medium,CLM65478034,2022-10-02
Claim CLM65478034 documentation verified,CLM65478034,2022-11-07
Payment authorization for CLM65478034,CLM65478034,2022-12-11
Claim CLM65478034 documentation verified,CLM65478034,2022-12-12
"Documentation received for claim CLM65478034 - Amount: $7,190",CLM65478034,2023-01-18
Claim CLM65478034 status updated - Priority: High,CLM65478034,2023-01-27
Additional information requested for CLM65665616,CLM65665616,2023-11-02
Initial review completed for claim CLM65665616,CLM65665616,2023-12-01
Documentation received for claim CLM65665616,CLM65665616,2023-12-02
Initial review completed for claim CLM65665616,CLM65665616,2023-12-22
"Documentation received for claim CLM65665616 - Priority: High - Amount: $40,852",CLM65665616,2024-01-24
Claim CLM65665616 documentation verified,CLM65665616,2024-02-13
Claim CLM66972561 status updated,CLM66972561,2023-05-09
Follow-up investigation required for CLM66972561,CLM66972561,2023-05-13
Review completed for CLM66972561,CLM66972561,2023-05-19
Review completed for CLM66972561,CLM66972561,2023-05-22
"Payment authorization for CLM66972561 - Amount: $7,873",CLM66972561,2023-05-23
Review completed for CLM66972561,CLM66972561,2023-07-03
Review completed for CLM66972561 - Priority: Medium,CLM66972561,2023-09-18
Claim CLM69565730 status updated,CLM69565730,2023-11-09
"Documentation received for claim CLM69565730 - Amount: $2,958",CLM69565730,2023-12-28
Payment processed for CLM69565730,CLM69565730,2023-12-29
Documentation received for claim CLM69565730 - Priority: High,CLM69565730,2024-01-22
Claim CLM69565730 status updated - Priority: High,CLM69565730,2024-03-14
Initial review completed for claim CLM69565730,CLM69565730,2024-03-19
Follow-up investigation required for CLM70303849,CLM70303849,2023-11-28
Initial review completed for claim CLM70303849 - Priority: Medium,CLM70303849,2023-12-05
Documentation received for claim CLM70303849,CLM70303849,2024-02-09
Initial review completed for claim CLM70303849,CLM70303849,2024-02-24
Claim CLM70303849 status updated,CLM70303849,2024-03-02
"Claim CLM70303849 assigned to adjuster - Priority: Medium - Amount: $11,966",CLM70303849,2024-03-09
Documentation received for claim CLM70303849,CLM70303849,2024-03-10
Claim CLM70303849 assigned to adjuster,CLM70303849,2024-03-11
"Additional information requested for CLM70303849 - Amount: $43,675",CLM70303849,2024-03-19
Payment authorization for CLM70303849,CLM70303849,2024-03-23
"Review completed for CLM70303849 - Priority: Medium - Amount: $26,316",CLM70303849,2024-04-08
Additional information requested for CLM70303849,CLM70303849,2024-05-03
Review completed for CLM70361505,CLM70361505,2023-11-05
Initial review completed for claim CLM70361505,CLM70361505,2024-01-24
Initial review completed for claim CLM71902171,CLM71902171,2022-09-18
Additional information requested for CLM71902171,CLM71902171,2023-02-15
Payment processed for CLM73848248 - Priority: Medium,CLM73848248,2022-03-23
Claim CLM73848248 status updated - Priority: Low,CLM73848248,2022-05-08
"Payment authorization for CLM73848248 - Amount: $29,272",CLM73848248,2022-05-18
Claim CLM73848248 status updated,CLM73848248,2022-05-26
Additional information requested for CLM73848248 - Priority: High,CLM73848248,2022-06-20
Claim CLM73848248 assigned to adjuster,CLM73848248,2022-07-20
"Initial review completed for claim CLM73848248 - Amount: $14,493",CLM73848248,2022-08-28
Additional information requested for CLM75682867 - Priority: High,CLM75682867,2022-05-25
Payment authorization for CLM75682867 - Priority: Low,CLM75682867,2022-05-26
Additional information requested for CLM75682867 - Priority: High,CLM75682867,2022-06-24
"Payment processed for CLM75682867 - Priority: Low - Amount: $1,769",CLM75682867,2022-07-23
"Claim CLM75682867 status updated - Amount: $15,502",CLM75682867,2022-08-06
Documentation received for claim CLM75682867,CLM75682867,2022-09-19
Additional information requested for CLM76359476 - Priority: Medium,CLM76359476,2024-01-23
Additional information requested for CLM76359476 - Priority: Low,CLM76359476,2024-03-12
Claim CLM77658103 status updated - Priority: Medium,CLM77658103,2024-01-11
Review completed for CLM77658103,CLM77658103,2024-02-06
"Initial review completed for claim CLM77658103 - Amount: $44,194",CLM77658103,2024-02-16
Claim CLM77658103 assigned to adjuster,CLM77658103,2024-05-06
Review completed for CLM78587632,CLM78587632,2023-09-07
Payment processed for CLM78587632,CLM78587632,2023-10-05
Follow-up investigation required for CLM79217406 - Priority: Low,CLM79217406,2022-10-02
Follow-up investigation required for CLM79217406 - Priority: Low,CLM79217406,2023-01-05
Additional information requested for CLM79217406 - Priority: Medium,CLM79217406,2023-01-18
Claim CLM79217406 assigned to adjuster,CLM79217406,2023-01-20
Follow-up investigation required for CLM79217406 - Priority: Low,CLM79217406,2023-02-05
Additional information requested for CLM79217406,CLM79217406,2023-02-21
"Claim CLM80047063 documentation verified - Amount: $48,219",CLM80047063,2022-02-12
Claim CLM80047063 documentation verified,CLM80047063,2022-02-24
Payment authorization for CLM80047063,CLM80047063,2022-04-10
"Initial review completed for claim CLM80047063 - Amount: $2,925",CLM80047063,2022-05-09
Additional information requested for CLM80047063,CLM80047063,2022-05-11
"Additional information requested for CLM80047063 - Amount: $40,499",CLM80047063,2022-05-26
Additional information requested for CLM80047063,CLM80047063,2022-06-13
Follow-up investigation required for CLM80047063,CLM80047063,2022-06-27
Claim CLM81619648 status updated,CLM81619648,2022-06-12
"Payment authorization for CLM81619648 - Amount: $45,617",CLM81619648,2022-06-20
"Payment processed for CLM81619648 - Amount: $42,346",CLM81619648,2022-07-17
Additional information requested for CLM81619648,CLM81619648,2022-08-16
Initial review completed for claim CLM82045464,CLM82045464,2023-06-27
Payment processed for CLM82045464 - Priority: Medium,CLM82045464,2023-07-14
Payment authorization for CLM82045464,CLM82045464,2023-07-28
Payment authorization for CLM82045464,CLM82045464,2023-08-21
Review completed for CLM82045464,CLM82045464,2023-08-26
"Claim CLM82045464 documentation verified - Priority: Medium - Amount: $34,400",CLM82045464,2023-08-30
Payment processed for CLM82045464 - Priority: High,CLM82045464,2023-10-01
Claim CLM82045464 status updated - Priority: Medium,CLM82045464,2023-12-03
Follow-up investigation required for CLM82045464,CLM82045464,2023-12-03
Claim CLM82739625 assigned to adjuster - Priority: Low,CLM82739625,2022-08-22
Additional information requested for CLM82739625,CLM82739625,2022-10-26
Claim CLM82739625 assigned to adjuster,CLM82739625,2022-11-22
Claim CLM82739625 assigned to adjuster,CLM82739625,2022-11-27
Payment processed for CLM82739625,CLM82739625,2023-01-02
Claim CLM82739625 status updated,CLM82739625,2023-02-02
Payment processed for CLM84931500,CLM84931500,2023-11-15
Additional information requested for CLM84931500,CLM84931500,2023-12-10
Documentation received for claim CLM84931500,CLM84931500,2024-01-04
"Claim CLM84931500 assigned to adjuster - Amount: $22,909",CLM84931500,2024-02-29
Claim CLM84931500 assigned to adjuster,CLM84931500,2024-03-30
Payment processed for CLM85191987,CLM85191987,2023-01-12
"Claim CLM85191987 documentation verified - Amount: $2,062",CLM85191987,2023-01-14
"Claim CLM85191987 assigned to adjuster - Priority: Medium - Amount: $40,056",CLM85191987,2023-01-16
Follow-up investigation required for CLM85191987,CLM85191987,2023-04-16
Follow-up investigation required for CLM85191987 - Priority: Low,CLM85191987,2023-04-18
Review completed for CLM85191987 - Priority: Low,CLM85191987,2023-06-02
Claim CLM85899393 status updated,CLM85899393,2023-06-20
Review completed for CLM85899393,CLM85899393,2023-06-24
"Payment processed for CLM85899393 - Priority: High - Amount: $9,996",CLM85899393,2023-07-07
Initial review completed for claim CLM85899393,CLM85899393,2023-07-09
Documentation received for claim CLM85899393,CLM85899393,2023-08-07
Initial review completed for claim CLM85899393,CLM85899393,2023-10-21
"Additional information requested for CLM87209213 - Amount: $2,679",CLM87209213,2024-02-11
Claim CLM87209213 assigned to adjuster,CLM87209213,2024-02-27
Payment processed for CLM87209213 - Priority: Medium,CLM87209213,2024-03-07
Claim CLM87209213 assigned to adjuster - Priority: Medium,CLM87209213,2024-03-14
"Claim CLM87209213 status updated - Priority: High - Amount: $45,078",CLM87209213,2024-05-31
Payment authorization for CLM87652169,CLM87652169,2023-08-22
"Initial review completed for claim CLM87652169 - Amount: $14,490",CLM87652169,2024-01-06
Claim CLM88815702 documentation verified,CLM88815702,2023-12-15
Follow-up investigation required for CLM88815702 - Priority: High,CLM88815702,2023-12-28
Review completed for CLM88815702 - Priority: Medium,CLM88815702,2024-02-23
Additional information requested for CLM88815702 - Priority: High,CLM88815702,2024-04-01
Documentation received for claim CLM88815702,CLM88815702,2024-04-03
Payment processed for CLM88987338,CLM88987338,2023-01-23
Additional information requested for CLM88987338,CLM88987338,2023-02-12
Documentation received for claim CLM88987338 - Priority: High,CLM88987338,2023-02-17
Claim CLM88987338 assigned to adjuster,CLM88987338,2023-03-06
"Claim CLM88987338 assigned to adjuster - Priority: Medium - Amount: $41,760",CLM88987338,2023-03-29
"Follow-up investigation required for CLM88987338 - Priority: Low - Amount: $22,172",CLM88987338,2023-05-14
"Follow-up investigation required for CLM93375337 - Amount: $39,623",CLM93375337,2023-01-22
Payment processed for CLM93375337,CLM93375337,2023-01-23
Documentation received for claim CLM93375337,CLM93375337,2023-04-20
Follow-up investigation required for CLM93375337,CLM93375337,2023-05-16
Initial review completed for claim CLM93375337,CLM93375337,2023-05-23
Documentation received for claim CLM93375337,CLM93375337,2023-05-29
Initial review completed for claim CLM93375337 - Priority: High,CLM93375337,2023-05-31
"Initial review completed for claim CLM93375337 - Priority: Low - Amount: $16,708",CLM93375337,2023-06-13
Additional information requested for CLM93375337 - Priority: Low,CLM93375337,2023-06-29
Payment processed for CLM96487703,CLM96487703,2022-08-29
Review completed for CLM96487703,CLM96487703,2022-09-03
Additional information requested for CLM96487703 - Priority: Medium,CLM96487703,2022-12-03
Claim CLM97350522 documentation verified,CLM97350522,2023-03-12
"Follow-up investigation required for CLM97350522 - Amount: $24,833",CLM97350522,2023-03-14
"Initial review completed for claim CLM98695125 - Amount: $28,128",CLM98695125,2023-06-29
Payment processed for CLM98695125,CLM98695125,2023-07-07
"Claim CLM98695125 status updated - Amount: $45,602",CLM98695125,2023-07-12
"Payment authorization for CLM98695125 - Amount: $32,486",CLM98695125,2023-07-21
Additional information requested for CLM98695125,CLM98695125,2023-08-06
Payment processed for CLM98695125,CLM98695125,2023-08-10
Claim CLM98695125 assigned to adjuster,CLM98695125,2023-10-02
Documentation received for claim CLM98695125 - Priority: Medium,CLM98695125,2023-10-10
Claim CLM98695125 status updated,CLM98695125,2023-10-21
"Claim CLM98934079 documentation verified - Amount: $7,852",CLM98934079,2022-08-23
Review completed for CLM98934079 - Priority: High,CLM98934079,2022-09-20
Claim CLM98934079 documentation verified - Priority: Low,CLM98934079,2022-10-05
Additional information requested for CLM98934079 - Priority: Medium,CLM98934079,2022-10-18
Review completed for CLM98934079,CLM98934079,2022-10-24
"Payment authorization for CLM98934079 - Amount: $49,563",CLM98934079,2022-11-05
Payment authorization for CLM98934079,CLM98934079,2023-01-15
Review completed for CLM98934079,CLM98934079,2023-01-23
Claim CLM99763925 documentation verified - Priority: Low,CLM99763925,2022-06-06
Review completed for CLM99763925,CLM99763925,2022-06-19
Claim CLM99763925 documentation verified,CLM99763925,2022-07-26
Claim CLM99763925 documentation verified,CLM99763925,2022-08-04
Claim CLM99763925 status updated,CLM99763925,2022-10-18
